"uacResult","uacResultDescription"
"0x00000010","USER_NORMAL_ACCOUNT"
"0x00000004","USER_PASSWORD_NOT_REQUIRED"
"0x00010000","USER_DONT_REQUIRE_PREAUTH"
"0x00000080","USER_WORKSTATION_TRUST_ACCOUNT"
"0x00000100","USER_SERVER_TRUST_ACCOUNT"
"0x00000200","USER_DONT_EXPIRE_PASSWORD"
"0x00200000","USER_USE_AES_KEYS"
"0x00002000","USER_TRUSTED_FOR_DELEGATION"
"0x00000020","USER_MNS_LOGON_ACCOUNT"
"0x00000400","USER_ACCOUNT_AUTO_LOCKED"
"0x00008000","USER_USE_DES_KEY_ONLY"
"0x00080000","USER_NO_AUTH_DATA_REQUIRED"
"0x00001000","USER_SMARTCARD_REQUIRED"
"0x00000002","USER_HOME_DIRECTORY_REQUIRED"
"0x00000001","USER_ACCOUNT_DISABLED"
"0x00000008","USER_TEMP_DUPLICATE_ACCOUNT"
"0x00100000","USER_PARTIAL_SECRETS_ACCOUNT"
"0x00020000","USER_PASSWORD_EXPIRED"
"0x00040000","USER_TRUSTED_TO_AUTHENTICATE_FOR_DELEGATION"
"0x00000800","USER_ENCRYPTED_TEXT_PASSWORD_ALLOWED"
"0x00000040","USER_INTERDOMAIN_TRUST_ACCOUNT"
"0x00004000","USER_NOT_DELEGATED"
